	YPACETATE	YPDCAFEIN40	YPDHU	YPETHANOL	YPD14	YPDCAFEIN50	YPDKCL2M	YPGALACTOSE	YPD40	YPDCHX05	YPDLICL250MM	YPGLYCEROL	YPD42	YPDCHX1	YPDMV	YPRIBOSE	YPD6AU	YPDCUSO410MM	YPDNACL15M	YPSORBITOL	YPDANISO10	YPDDMSO	YPDNACL1M	YPXYLOSE	YPDANISO20	YPDETOH	YPDNYSTATIN	YPDANISO50	YPDFLUCONAZOLE	YPDSDS	YPDBENOMYL200	YPDFORMAMIDE4	YPDSODIUMMETAARSENITE	YPDBENOMYL500	YPDFORMAMIDE5
ABD_5.re	0.40397531299999995	0.128821018	0.309844984	0.474422675	0.5085016960000001	0.10223414300000001	0.13434195	1.080605016	0.677557005	0.22286999300000002	0.22855961600000002	0.388343824	0.25723181300000003	0.137380837	0.277546792	0.320355379	0.45118249899999996	1.3619469830000002	0.32483818	0.427862378	0.309616699	0.495863065	0.469898525	0.45597383700000005	0.22110374100000002	0.401345575	0.15610175	0.213704325	0.414307419	0.444006405	0.286230838	0.440638631	0.45499758	0.246927263	0.185685479
ABE_5.re	0.373153656	0.115715338	0.572285516	0.616296842	0.384709154	0.080906308	0.198504223	1.3150466170000001	0.7641660490000001	0.347557191	0.149746083	0.740317832	0.482175756	0.126945674	0.151716262	0.559286127	0.24756588899999998	1.47879224	0.187240176	0.557473919	0.9903066209999999	0.693874593	0.329214044	0.673830512	0.649187514	0.6021880310000001	0.137227268	0.209314625	0.288687847	0.207269747	0.415458996	0.565202998	0.22260179800000002	0.652813812	0.36968603
ABG_5.re	0.29345849	0.455329786	0.33754921200000004	0.442957053	0.514899629	0.38262481	0.252609912	1.010687101	0.8828018879999999	0.6001871360000001	0.23586726600000002	0.442886934	0.53379492	0.366739386	0.17880209100000002	0.348178781	0.212421571	1.149376443	0.268759148	0.33970532600000003	0.847037493	0.521913204	0.311303424	0.434778915	0.771319352	0.47319067	0.217806793	0.282106968	0.36803562100000003	0.468169747	0.34896465600000004	0.419436156	0.292087076	0.540358921	0.322533309
ABH_5.re	0.253061608	0.334023485	0.38836206700000003	0.41707005399999997	0.38636328600000003	0.267502616	0.230504522	1.063241707	0.6981987609999999	0.339848011	0.177509182	0.454702458	0.418041845	0.149499879	0.190218959	0.36055091	0.061574652	1.07606293	0.135172991	0.407339842	0.849710801	0.6874355209999999	0.293860519	0.514143365	0.628743782	0.495610455	0.18694186100000001	0.176753038	0.197668884	0.23652722199999998	0.21012145699999998	0.445428185	0.028771746	0.491090784	0.274340617
ABI_5.re	0.467418554	0.091552177	0.338746011	0.591592109	0.47449490200000005	0.092332515	0.181863603	1.3102418059999998	0.756934944	0.12036711300000001	0.284161889	0.609653574	0.382429092	0.057651021	0.16832976300000002	0.48167116200000004	0.360173918	0.853178023	0.31768915600000003	0.600810289	0.412185054	0.490123661	0.342955788	0.563070795	0.17742697899999998	0.632095062	0.325086077	0.189756785	0.480257142	0.346363424	0.254811998	0.470849223	0.30795832100000003	0.36610555200000006	0.390391593
ABK_5.re	0.208913342	0.320273411	0.330718155	0.350910815	0.43713609299999995	0.234901035	0.17612412800000002	1.0415308559999998	0.558662373	0.313357695	0.108315364	0.377794884	0.412102211	0.119571723	0.29608145199999997	0.319966032	0.050134041	0.8298132090000001	0.13043295	0.378084675	0.834209392	0.74444704	0.380354181	0.5135070420000001	0.657728823	0.755255019	0.08871243699999999	0.201825006	0.164460327	0.44381056700000004	0.191187365	0.41514850799999997	0.038839817	0.23543282899999998	0.27630273899999996
ABL_5.re	0.23740099899999997	0.142286766	0.38779168	0.441620671	0.411612427	0.117508079	0.136274075	0.96308634	0.8810513170000001	0.5170393870000001	0.13836044	0.3748453	0.8538147640000001	0.132663463	0.16096147800000002	0.401890499	0.10054153699999999	0.783347948	0.117221094	0.465347809	0.819478864	0.523053025	0.30149394	0.439567052	0.502255731	0.49465639200000006	0.11491188199999999	0.16357786900000001	0.251519103	0.15339209	0.264903873	0.526345139	0.07821715900000001	0.535303257	0.45751997
ABM_5.re	0.388952452	0.37942673	0.363224748	0.542780529	0.40053532700000005	0.27599824100000003	0.186109487	1.059650713	0.865073757	0.349750616	0.08493038	0.539457783	0.570429259	0.111462508	0.194325151	0.660126341	0.090335695	0.597637395	0.12087473800000001	0.682807577	0.8073752479999999	0.57368781	0.183742565	0.575966726	0.479484488	0.638242357	0.09685697199999999	0.079395323	0.225166675	0.26019945	0.305112139	0.44676644299999996	0.037687919	0.512814607	0.274018873
ABP_6.re	0.396218206	0.067066895	0.5681778439999999	0.5115036279999999	0.440973779	0.056898682	0.06420257900000001	1.096132156	0.491096132	0.299783283	0.118806144	0.517212302	0.234037904	0.111023315	0.094462293	0.406926556	0.385966067	0.129205885	0.131032332	0.532562908	0.41904876799999996	0.5486801170000001	0.261186492	0.45654864799999995	0.158026363	0.39542802	0.10027243	0.125230975	0.315061099	0.073507945	0.204999294	0.433875711	0.189245103	0.30056406199999997	0.274208915
ABQ_6.re	0.48017368	0.12189826	0.5827974029999999	0.563986412	0.827217853	0.08760609300000001	0.35308917100000003	1.143486772	0.9679185920000001	0.44645933200000004	0.33871516799999996	0.421428088	0.43352287899999997	0.113478077	0.272225466	0.34494337799999997	0.481513278	1.304909522	0.464810063	0.472272253	1.052893907	0.580461538	0.58112165	0.470003695	1.055476275	0.487667374	0.245890288	0.5810582879999999	0.8041632209999999	0.025642546000000002	0.24340049600000002	0.5948089520000001	0.451659786	0.193616331	0.306289532
ABR_6.re	0.417093769	0.104369364	0.42285474799999995	0.48483203	0.65633503	0.075197303	0.296561248	0.986212144	0.7918263870000001	0.314972775	0.35926562700000003	0.327897545	0.50914011	0.08104872099999999	0.292533499	0.299744487	0.42522657799999997	1.112933505	0.433605299	0.34209430700000004	0.9957003240000001	0.552461517	0.511078307	0.384581086	0.971773482	0.482314109	0.25330951399999996	0.48522522700000004	0.585016875	0.045805612999999995	0.251074448	0.6980667970000001	0.32070339	0.216090315	0.35601680399999996
ABS_6.re	0.351476575	0.13988446400000001	0.44705838200000003	0.366933655	0.529208103	0.105670501	0.321637695	1.032058527	0.570137411	0.240014426	0.25316248	0.35554234100000004	0.306395028	0.106570279	0.145988575	0.281843532	0.46091763700000005	0.155572032	0.33572297	0.37860242	0.9121674609999999	0.509752048	0.395346135	0.36728917299999997	0.44527727899999997	0.390067565	0.12435396800000001	0.185427569	0.462607046	0.115946005	0.357938748	0.49010222	0.058844535999999996	0.51854403	0.331164799
ABT_6.re	0.179583429	0.07545587599999999	0.15831172699999999	0.635536629	0.252783998	0.051898560999999996	0.185749744	1.246561048	0.490081735	0.109487937	0.120811095	0.7349924390000001	0.21464802100000002	0.058977048	0.158265231	0.468626676	0.070971274	1.3910356519999998	0.08535488599999999	0.42912695700000003	0.653400158	0.510915859	0.130215865	0.45750521899999996	0.12037609199999999	0.22827081100000002	0.09823493300000001	0.046252367	0.236399809	0.163463796	0.158600748	0.432818473	0.082275816	0.45107286700000004	0.310324785
ABV_6.re	0.409488209	0.10413404300000001	0.348051206	0.9059645059999999	0.5146395979999999	0.066894966	0.151460746	1.2558404840000001	0.52592865	0.37003241600000003	0.223497471	0.7276968490000001	0.304958768	0.144005375	0.17676606600000003	0.586538686	0.366767539	0.622110301	0.21393867600000002	0.589970543	0.681395327	0.590791975	0.28033211	0.46715516	0.484675266	0.563328968	0.28208301199999997	0.22838901600000003	0.29546642	0.61814364	0.24109444100000002	0.43791623	0.074940772	0.210160314	0.238480886
